StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,AWNA,PLNA,PLA,AWA,QTime_First Click,QTime_Last Click,QTime_Page Submit,QTime_Click Count,Age,School,Employment,HHI,Industry,Sex,per_week,time_spent,lifestyle,attention,country,statement,lose,win_work,win_invest,confirm
2019-03-15 13:10:10,2019-03-15 13:13:16,IP Address,74.161.64.5,100,186,True,2019-03-15 13:13:16,R_74K8LhwipeSfYt3,,,,,25.947601318359375,-80.277801513671875,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,24.29,24.29,26.463,1,65 - 74,Doctoral degree,Part-time employed,"$70,000 - $79,999","Management, professional, and related",Female,Daily,5 - 6 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,8900
2019-03-15 13:08:44,2019-03-15 13:14:31,IP Address,103.110.238.148,100,346,True,2019-03-15 13:14:31,R_3svs2A7VEekWeTG,,,,,11.350006103515625,77.733306884765625,anonymous,EN,Wage Choice - Guaranteed Receipt of $10.00,,,,5.942,5.942,44.761,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"Less than $10,000",Service,Male,Daily,3 - 4 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,India,,Select here to acknowledge your understanding,,,4917
2019-03-15 13:11:05,2019-03-15 13:15:24,IP Address,75.85.176.151,100,258,True,2019-03-15 13:15:24,R_vlgkaLWchFinxdL,,,,,33.1165008544921875,-117.184600830078125,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,36.998,36.998,37.731,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$80,000 - $89,999",Sales and office,Male,Daily,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,8762
2019-03-15 13:10:09,2019-03-15 13:15:27,IP Address,223.181.197.85,100,318,True,2019-03-15 13:15:28,R_1esoSGKcKqhu1AY,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,18.344,22.207,22.793,3,35 - 44,Master's degree,Full-time employed,"$50,000 - $59,999","Management, professional, and related",Male,Daily,30 - 60 minutes,Mechanical Turk money is always needed to make basic ends meet,,India,,Select here to acknowledge your understanding,,,6117
2019-03-15 13:14:26,2019-03-15 13:15:39,IP Address,172.58.21.215,100,72,True,2019-03-15 13:15:39,R_3L4RSjUSEFYZIhJ,,,,,34.0648040771484375,-118.08599853515625,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,10.86,10.86,13.057,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$30,000 - $39,999",Sales and office,Male,2-3 times a week,30 - 60 minutes,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,1830
2019-03-15 13:12:40,2019-03-15 13:15:43,IP Address,66.108.217.161,100,183,True,2019-03-15 13:15:43,R_25ubkwWYsMIMoKN,,,,,40.686798095703125,-73.822998046875,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,8.781,17.64,19.316,2,45 - 54,Bachelor's degree in college (4-year),Prefer not to answer,"$10,000 - $19,999",Sales and office,Female,4-6 times a week,3 - 4 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,,,Select here to acknowledge your understanding,4815
2019-03-15 13:14:02,2019-03-15 13:16:27,IP Address,70.160.24.177,100,145,True,2019-03-15 13:16:27,R_3RfOOH3gMNAE4ub,,,,,36.8361968994140625,-76.34400177001953125,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,37.523,38.044,39.237,2,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$50,000 - $59,999","Production, transportation, and material moving",Male,4-6 times a week,1 - 2 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,8373
2019-03-15 13:13:53,2019-03-15 13:16:44,IP Address,173.88.8.208,100,171,True,2019-03-15 13:16:44,R_3HYwz4htDCjoar8,,,,,40.7415924072265625,-84.15219879150390625,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,17.903,17.903,23.501,1,55 - 64,Master's degree,Part-time employed,"$60,000 - $69,999","Management, professional, and related",Female,Daily,3 - 4 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,9178
2019-03-15 13:15:13,2019-03-15 13:17:01,IP Address,122.164.215.239,100,107,True,2019-03-15 13:17:01,R_3FLiui0wjrUqSwz,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,14.046,15.365,16.317,2,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$90,000 - $99,999","Construction, extraction, and maintenance",Male,Daily,5 - 6 hours,Mechanical Turk money is always needed to make basic ends meet,,India,,Select here to acknowledge your understanding,,,4636
2019-03-15 13:16:00,2019-03-15 13:19:05,IP Address,122.164.215.239,100,185,True,2019-03-15 13:19:05,R_QcBwJcJSw9dmZa1,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,Wage Choice - Guaranteed Receipt of $10.00,,,9.33,9.33,15.299,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$70,000 - $79,999","Production, transportation, and material moving",Male,Daily,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,India,,Select here to acknowledge your understanding,,,7748
2019-03-15 13:16:26,2019-03-15 13:19:22,IP Address,117.221.137.216,100,175,True,2019-03-15 13:19:23,R_3Lhy5auTmly3dv0,,,,,11.350006103515625,77.733306884765625,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,17.167,17.167,34.501,1,25 - 34,Associate or Technical degree in college (2-year),Full-time employed,"$20,000 - $29,999","Management, professional, and related",Female,Daily,5 - 6 hours,Mechanical Turk money is always needed to make basic ends meet,,India,,Select here to acknowledge your understanding,,,9414
2019-03-15 13:18:49,2019-03-15 13:20:21,IP Address,173.90.75.108,100,92,True,2019-03-15 13:20:22,R_39smMlshI2iUFWh,,,,,40.7960968017578125,-81.37979888916015625,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,18.078,18.078,28.834,1,35 - 44,Bachelor's degree in college (4-year),Part-time employed,"$20,000 - $29,999",Service,Male,4-6 times a week,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,4876
2019-03-15 13:19:23,2019-03-15 13:20:41,IP Address,165.225.35.35,100,77,True,2019-03-15 13:20:41,R_9ZAhYgF3lD5WHdL,,,,,33.1493988037109375,-96.8280029296875,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,9.942,9.942,13.866,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$40,000 - $49,999",Sales and office,Male,Daily,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,7778
2019-03-15 13:11:29,2019-03-15 13:20:53,IP Address,110.227.229.201,100,563,True,2019-03-15 13:20:54,R_2dEIZvTS0H4gfQA,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",35.076,35.076,37.02,1,25 - 34,Master's degree,Full-time employed,"Less than $10,000",Other,Male,Daily,More than 7 hours,Mechanical Turk money is always needed to make basic ends meet,,India,,Select here to acknowledge your understanding,,,5992
2019-03-15 13:15:02,2019-03-15 13:21:15,IP Address,157.51.93.254,100,372,True,2019-03-15 13:21:39,R_2arbEpKpf2ptKEe,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,46.408,46.408,50.404,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$10,000 - $19,999",Sales and office,Male,Daily,5 - 6 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,India,,Select here to acknowledge your understanding,,,8212
2019-03-15 13:21:35,2019-03-15 13:23:10,IP Address,104.34.83.206,100,95,True,2019-03-15 13:23:27,R_1IS2Y8vfYXks0PH,,,,,34.197906494140625,-118.53710174560546875,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",14.611,14.611,16.832,1,35 - 44,Bachelor's degree in college (4-year),Not working and seeking employment (Unemployed),"$20,000 - $29,999",Unemployed,Male,Daily,5 - 6 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,,,Select here to acknowledge your understanding,1077
2019-03-15 13:25:19,2019-03-15 13:27:15,IP Address,76.25.129.168,100,116,True,2019-03-15 13:27:16,R_3KV1GP3HDYuJaIL,,,,,39.825897216796875,-104.9113006591796875,anonymous,EN,Wage Choice - Guaranteed Receipt of $10.00,,,,13.324,13.324,17.451,1,45 - 54,Bachelor's degree in college (4-year),Full-time employed,"$60,000 - $69,999","Management, professional, and related",Female,2-3 times a week,30 - 60 minutes,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,8702
2019-03-15 13:28:26,2019-03-15 13:30:25,IP Address,137.52.20.242,100,119,True,2019-03-15 13:30:26,R_30r9s6grhI2r3Ks,,,,,26.0702972412109375,-80.22480010986328125,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,15.278,15.278,16.365,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$60,000 - $69,999",Government,Male,4-6 times a week,3 - 4 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,,Select here to acknowledge your understanding,,7821
2019-03-15 13:30:07,2019-03-15 13:31:15,IP Address,99.157.102.220,100,67,True,2019-03-15 13:31:16,R_ALDVQo7JdZd0QM1,,,,,34.1280975341796875,-84.5717010498046875,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,7.102,7.196,14.585,2,25 - 34,High school graduate (high school diploma or equivalent including GED),Part-time employed,"$70,000 - $79,999",Sales and office,Female,4-6 times a week,3 - 4 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,4902
2019-03-15 13:31:32,2019-03-15 13:32:51,IP Address,24.6.175.172,100,79,True,2019-03-15 13:32:52,R_r29QjRxhsHnMgBr,,,,,37.3303985595703125,-121.7913055419921875,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,18.153,18.153,19.053,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"More than $150,000","Management, professional, and related",Male,Daily,5 - 6 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,6119
2019-03-15 13:29:50,2019-03-15 13:33:04,IP Address,74.222.116.114,100,194,True,2019-03-15 13:33:05,R_1GVLOEhjl6Ss96D,,,,,33.8820953369140625,-80.402801513671875,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,12.174,12.174,13.699,1,25 - 34,Associate or Technical degree in college (2-year),Full-time employed,"$10,000 - $19,999",Service,Female,Daily,5 - 6 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,7517
2019-03-15 13:34:35,2019-03-15 13:36:32,IP Address,24.167.162.47,100,117,True,2019-03-15 13:37:40,R_31LX2mNS44Srq3C,,,,,36.032196044921875,-79.85880279541015625,anonymous,EN,,Wage Choice - Guaranteed Receipt of $10.00,,,20.009,20.009,21.158,1,65 - 74,Associate or Technical degree in college (2-year),Retired,"$10,000 - $19,999",Retired,Male,Daily,More than 7 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,1437
2019-03-15 13:34:40,2019-03-15 13:37:24,IP Address,50.224.158.114,100,163,True,2019-03-15 13:37:43,R_27loKD7iwdttdmJ,,,,,44.93719482421875,-93.12090301513671875,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,23.133,23.133,27.78,1,45 - 54,Bachelor's degree in college (4-year),Full-time employed,"$100,000 - $149,999","Management, professional, and related",Male,4-6 times a week,30 - 60 minutes,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,5734
2019-03-15 13:36:11,2019-03-15 13:37:54,IP Address,172.223.201.44,100,103,True,2019-03-15 13:37:55,R_2ykZL9HvcAbEvsf,,,,,43.2151031494140625,-124.198394775390625,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",21.429,21.429,22.47,1,45 - 54,High school graduate (high school diploma or equivalent including GED),Full-time employed,"$100,000 - $149,999","Management, professional, and related",Female,4-6 times a week,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,7962
2019-03-15 13:38:11,2019-03-15 13:39:05,IP Address,172.116.252.71,100,54,True,2019-03-15 13:39:07,R_2sSeORJZvZHnopg,,,,,34.0717926025390625,-117.697296142578125,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,3.92,3.92,5.701,1,25 - 34,Some college but no degree,Full-time employed,"$50,000 - $59,999","Management, professional, and related",Male,4-6 times a week,3 - 4 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,8647
2019-03-15 13:44:27,2019-03-15 13:45:42,IP Address,162.250.82.237,100,74,True,2019-03-15 13:45:42,R_2Ck4S7T8gkK5sq9,,,,,32.4983978271484375,-85.018402099609375,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,2.733,2.733,5.23,1,25 - 34,Associate or Technical degree in college (2-year),Full-time employed,"$20,000 - $29,999",Other,Female,Daily,3 - 4 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,9756
2019-03-15 13:40:09,2019-03-15 13:46:42,IP Address,174.234.172.13,100,392,True,2019-03-15 13:46:43,R_2bUawLi6aSr24Se,,,,,38.444305419921875,-90.08879852294921875,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,341.01,341.728,342.621,2,25 - 34,High school graduate (high school diploma or equivalent including GED),Full-time employed,"$20,000 - $29,999",Service,Male,Daily,Less than 30 minutes,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,4214
2019-03-15 13:47:04,2019-03-15 13:47:58,IP Address,96.32.30.254,100,54,True,2019-03-15 13:47:58,R_1E4BEgMSO9gKOaY,,,,,41.960205078125,-72.003997802734375,anonymous,EN,,Wage Choice - Guaranteed Receipt of $10.00,,,4.742,4.742,5.89,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$100,000 - $149,999",Sales and office,Female,Daily,30 - 60 minutes,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,9590
2019-03-15 13:47:16,2019-03-15 13:49:25,IP Address,173.31.201.186,100,128,True,2019-03-15 13:49:25,R_2AXQACoIrGFtyMF,,,,,38.93359375,-92.36299896240234375,anonymous,EN,Wage Choice - Guaranteed Receipt of $10.00,,,,5.387,5.387,14.889,1,45 - 54,Bachelor's degree in college (4-year),Full-time employed,"$30,000 - $39,999","Management, professional, and related",Female,Daily,More than 7 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,9381
2019-03-15 13:46:43,2019-03-15 13:50:47,IP Address,122.174.123.236,100,243,True,2019-03-15 13:50:48,R_27dsL4aqysXQQf7,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,56.466,56.466,57.993,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$10,000 - $19,999",Sales and office,Male,Daily,3 - 4 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,India,,,Select here to acknowledge your understanding,,2376
